Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
timescales,1.0,16.0,Reelay,({x > 0.25} -> (historically[:16](not {x > 0.5}))),5000000.0,ms,2050.0,2021-03-02 19:50:23.629438-06:00
timescales,6.0,16384.0,semiring-monitor,(once[:16384]{x > 0.5}),100000000.0,ms,1383.0,2021-03-02 19:07:26.158884-06:00
timescales,3.0,4096.0,semiring-monitor,((once[:4096]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3352.0,2021-03-02 20:36:42.976809-06:00
timescales,0.0,32.0,semiring-monitor,((once[:32]{x > 0.0}) -> ((not {x > 0.5}) since {x > 0.0})),100000000.0,ms,3357.0,2021-03-02 16:44:44.534925-06:00
timescales,9.0,65536.0,lattice-monitor,F9(65536),5000000.0,ms,5729.9311161,2021-03-02 20:14:39.844917-06:00
timescales,8.0,2048.0,lattice-monitor,F8(2048),5000000.0,ms,4104.9349308,2021-03-02 17:58:55.839975-06:00
timescales,4.0,8192.0,lattice-monitor,F4(8192),5000000.0,ms,1162.99295425,2021-03-02 21:09:50.496536-06:00
timescales,2.0,8192.0,Reelay,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[8192:16384] {x > 0.0}),5000000.0,ms,6595.0,2021-03-02 18:33:17.759536-06:00
timescales,6.0,4096.0,semiring-monitor,(once[:4096]{x > 0.5}),100000000.0,ms,1353.0,2021-03-02 20:06:17.635748-06:00
timescales,1.0,2048.0,semiring-monitor,({x > 0.25} -> (historically[:2048](not {x > 0.5}))),100000000.0,ms,2455.0,2021-03-02 18:29:18.819470-06:00
timescales,1.0,524288.0,lattice-monitor,F1(524288),5000000.0,ms,1867.39706993,2021-03-02 17:11:18.869539-06:00
timescales,6.0,16.0,semiring-monitor,(once[:16]{x > 0.5}),100000000.0,ms,1469.0,2021-03-02 17:45:29.628512-06:00
timescales,7.0,128.0,lattice-monitor,F7(128),5000000.0,ms,2934.11803246,2021-03-02 16:49:17.476296-06:00
timescales,8.0,32768.0,semiring-monitor,(({x > 0.75} -> once[32768:65536] {x > 0.5}) and not( not({x > 0.75}) since[32768:] {x > 0.5})),100000000.0,ms,5870.0,2021-03-02 18:38:27.998504-06:00
timescales,1.0,256.0,Reelay,({x > 0.25} -> (historically[:256](not {x > 0.5}))),5000000.0,ms,2086.0,2021-03-02 18:54:54.097064-06:00
timescales,7.0,32.0,lattice-monitor,F7(32),5000000.0,ms,2872.33686447,2021-03-02 18:18:59.481479-06:00
timescales,1.0,32.0,semiring-monitor,({x > 0.25} -> (historically[:32](not {x > 0.5}))),100000000.0,ms,2381.0,2021-03-02 20:23:13.009728-06:00
timescales,6.0,131072.0,lattice-monitor,F6(131072),5000000.0,ms,1553.180933,2021-03-02 18:10:47.807253-06:00
timescales,2.0,131072.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[131072:262144] {x > 0.0}),100000000.0,ms,6783.0,2021-03-02 21:17:37.196029-06:00
timescales,3.0,2048.0,lattice-monitor,F3(2048),5000000.0,ms,1582.88288116,2021-03-02 17:26:28.479239-06:00
timescales,3.0,262144.0,Reelay,((once[:262144]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),5000000.0,ms,2495.0,2021-03-02 18:43:39.954856-06:00
timescales,4.0,16384.0,semiring-monitor,({x > 0.25} -> (historically[:16384]{x > 0.5})),100000000.0,ms,3354.0,2021-03-02 21:43:03.018297-06:00
timescales,9.0,64.0,lattice-monitor,F9(64),5000000.0,ms,4155.31110764,2021-03-02 20:26:22.050113-06:00
timescales,8.0,64.0,semiring-monitor,(({x > 0.75} -> once[64:128] {x > 0.5}) and not( not({x > 0.75}) since[64:] {x > 0.5})),100000000.0,ms,5738.0,2021-03-02 20:26:16.309278-06:00
