Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,InputType,TimeUnit,TimeElapsed,Memory,TimeStamp
memory,1.0,262144.0,semiring-monitor,once[262144:262144] x > 0.5,10000000.0,Increasing,ms,561.0,66016.0,2021-03-08 16:39:15.119238-06:00
memory,5.0,1024.0,lattice-monitor,x > 0 since[1024:1024] x > 0.5,200000.0,Increasing,ms,580.453157425,149235376.0,2021-03-08 16:56:53.708583-06:00
memory,0.0,32.0,semiring-monitor,once[0:32] x > 0.5,10000000.0,Random,ms,1057.0,68576.0,2021-03-08 15:14:00.579233-06:00
memory,7.0,128.0,lattice-monitor,x > 0 since[128:] x > 0.5,200000.0,Random,ms,375.931978226,149235376.0,2021-03-08 15:18:36.234659-06:00
memory,7.0,64.0,lattice-monitor,x > 0 since[64:] x > 0.5,200000.0,Decreasing,ms,378.41796875,149235376.0,2021-03-08 13:43:02.934659-06:00
memory,5.0,1024.0,lattice-monitor,x > 0 since[1024:1024] x > 0.5,200000.0,Increasing,ms,592.711925507,149235376.0,2021-03-08 12:09:19.534351-06:00
memory,5.0,2048.0,Reelay,{x > 0.0} since[2048:2048] {x > 0.5},12288.0,Random,ms,14582.0,23664848.0,2021-03-08 19:56:07.973584-06:00
memory,5.0,8192.0,lattice-monitor,x > 0 since[8192:8192] x > 0.5,200000.0,Random,ms,757.805109024,178056720.0,2021-03-08 14:33:59.336807-06:00
memory,3.0,32768.0,lattice-monitor,once[32768:] x > 0.5,200000.0,Decreasing,ms,222.018957138,174748624.0,2021-03-08 15:01:34.521856-06:00
memory,4.0,1024.0,semiring-monitor,x > 0.5 since[0:1024] x > 0,10000000.0,Increasing,ms,2132.0,280208.0,2021-03-08 13:48:20.820507-06:00
memory,2.0,65536.0,semiring-monitor,once[65536:131072] x > 0.5,10000000.0,Increasing,ms,1035.0,12649312.0,2021-03-08 15:02:40.241879-06:00
memory,1.0,16.0,semiring-monitor,once[16:16] x > 0.5,10000000.0,Decreasing,ms,581.0,63944.0,2021-03-08 15:12:20.293419-06:00
memory,6.0,512.0,lattice-monitor,x > 0 since[512:1024] x > 0.5,200000.0,Decreasing,ms,655.460119247,149235376.0,2021-03-08 16:55:21.498714-06:00
memory,2.0,262144.0,semiring-monitor,once[262144:524288] x > 0.5,10000000.0,Random,ms,1150.0,50398072.0,2021-03-08 18:14:25.733752-06:00
memory,4.0,65536.0,semiring-monitor,x > 0.5 since[0:65536] x > 0,10000000.0,Decreasing,ms,2244.0,13182632.0,2021-03-08 18:12:00.262643-06:00
memory,3.0,65536.0,lattice-monitor,once[65536:] x > 0.5,200000.0,Random,ms,231.30607605,215996160.0,2021-03-08 18:11:45.830594-06:00
