Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
micro,4.0,128.0,lattice-monitor,x > 0 since[0:128] x > 0.5,10000000.0,ms,2421.38695717,2021-02-13 18:11:05.106681-06:00
micro,5.0,64.0,lattice-monitor,x > 0 since[64:64] x > 0.5,10000000.0,ms,5493.84999275,2021-02-13 17:22:08.119932-06:00
micro,4.0,1024.0,semiring-monitor,x > 0.5 since[0:1024] x > 0,1000000000.0,ms,32682.0,2021-02-13 18:26:23.170451-06:00
micro,5.0,32.0,semiring-monitor,x > 0.5 since[32:32] x > 0,1000000000.0,ms,20945.0,2021-02-13 18:04:03.572281-06:00
micro,2.0,512.0,Reelay,once[512:1024] {x > 0.5},10000000.0,ms,3451.0,2021-02-13 18:19:27.136465-06:00
micro,4.0,16384.0,Reelay,{x > 0.0} since[0:16384] {x > 0.5},10000000.0,ms,9453.0,2021-02-13 21:18:23.881564-06:00
micro,3.0,4096.0,semiring-monitor,once[4096:] x > 0.5,1000000000.0,ms,8688.0,2021-02-13 18:51:35.098850-06:00
micro,3.0,4096.0,lattice-monitor,once[4096:] x > 0.5,10000000.0,ms,168729.498148,2021-02-13 18:48:44.431393-06:00
micro,5.0,4096.0,lattice-monitor,x > 0 since[4096:4096] x > 0.5,10000000.0,ms,179576.155186,2021-02-13 18:52:27.248898-06:00
micro,0.0,8192.0,semiring-monitor,once[0:8192] x > 0.5,1000000000.0,ms,14151.0,2021-02-13 19:03:24.385724-06:00
micro,6.0,1024.0,lattice-monitor,x > 0 since[1024:2048] x > 0.5,10000000.0,ms,35150.4070759,2021-02-13 18:27:53.292152-06:00
micro,6.0,64.0,Reelay,{x > 0.0} since[64:128] {x > 0.5},10000000.0,ms,11927.0,2021-02-13 17:23:04.324425-06:00
micro,2.0,32.0,semiring-monitor,once[32:64] x > 0.5,1000000000.0,ms,13940.0,2021-02-13 17:16:28.908900-06:00
micro,1.0,64.0,Reelay,once[64:64] {x > 0.5},10000000.0,ms,14048.0,2021-02-13 17:20:28.057970-06:00
micro,6.0,8192.0,semiring-monitor,x > 0.5 since[8192:16384] x > 0,1000000000.0,ms,40286.0,2021-02-13 19:48:35.907138-06:00
micro,6.0,16384.0,semiring-monitor,x > 0.5 since[16384:32768] x > 0,1000000000.0,ms,37934.0,2021-02-13 22:11:33.687715-06:00
micro,4.0,1024.0,semiring-monitor,x > 0.5 since[0:1024] x > 0,1000000000.0,ms,31768.0,2021-02-13 17:50:57.030973-06:00
micro,6.0,8192.0,Reelay,{x > 0.0} since[8192:16384] {x > 0.5},10000000.0,ms,12396.0,2021-02-13 19:48:23.500961-06:00
micro,1.0,16.0,lattice-monitor,once[16:16] x > 0.5,10000000.0,ms,773.868083954,2021-02-13 17:58:42.689097-06:00
micro,2.0,8192.0,semiring-monitor,once[8192:16384] x > 0.5,1000000000.0,ms,14171.0,2021-02-13 19:20:55.881796-06:00
micro,4.0,256.0,Reelay,{x > 0.0} since[0:256] {x > 0.5},10000000.0,ms,10180.0,2021-02-13 17:32:06.840800-06:00
micro,4.0,512.0,semiring-monitor,x > 0.5 since[0:512] x > 0,1000000000.0,ms,31362.0,2021-02-13 17:39:36.658332-06:00
micro,5.0,256.0,lattice-monitor,x > 0 since[256:256] x > 0.5,10000000.0,ms,11216.3388729,2021-02-13 17:32:49.729692-06:00
micro,0.0,64.0,semiring-monitor,once[0:64] x > 0.5,1000000000.0,ms,13605.0,2021-02-13 18:06:10.345615-06:00
micro,0.0,16.0,Reelay,once[0:16] {x > 0.5},10000000.0,ms,3486.0,2021-02-13 17:58:25.343361-06:00
micro,1.0,4096.0,semiring-monitor,once[4096:4096] x > 0.5,1000000000.0,ms,6551.0,2021-02-13 18:45:10.841784-06:00
micro,0.0,32.0,semiring-monitor,once[0:32] x > 0.5,1000000000.0,ms,14251.0,2021-02-13 18:02:21.841311-06:00
micro,0.0,2048.0,semiring-monitor,once[0:2048] x > 0.5,1000000000.0,ms,14218.0,2021-02-13 18:30:45.141293-06:00
micro,4.0,4096.0,lattice-monitor,x > 0 since[0:4096] x > 0.5,10000000.0,ms,2922.04093933,2021-02-13 18:51:43.789050-06:00
micro,6.0,512.0,lattice-monitor,x > 0 since[512:1024] x > 0.5,10000000.0,ms,19637.8388405,2021-02-13 18:21:31.623150-06:00
micro,3.0,256.0,semiring-monitor,once[256:] x > 0.5,1000000000.0,ms,8750.0,2021-02-13 18:15:13.051427-06:00
micro,3.0,64.0,Reelay,once[64:] {x > 0.5},10000000.0,ms,1922.0,2021-02-13 18:06:54.482924-06:00
micro,2.0,1024.0,lattice-monitor,once[1024:2048] x > 0.5,10000000.0,ms,31957.0260048,2021-02-13 18:24:38.335151-06:00
micro,4.0,64.0,Reelay,{x > 0.0} since[0:64] {x > 0.5},10000000.0,ms,9513.0,2021-02-13 18:07:07.585019-06:00
micro,7.0,256.0,lattice-monitor,x > 0 since[256:] x > 0.5,10000000.0,ms,10297.5730896,2021-02-13 18:17:39.683997-06:00
micro,0.0,8192.0,lattice-monitor,once[0:8192] x > 0.5,10000000.0,ms,1908.07390213,2021-02-13 19:03:18.762945-06:00
micro,7.0,4096.0,semiring-monitor,x > 0.5 since[4096:] x > 0,1000000000.0,ms,34009.0,2021-02-13 19:02:44.751329-06:00
micro,6.0,128.0,Reelay,{x > 0.0} since[128:256] {x > 0.5},10000000.0,ms,12208.0,2021-02-13 17:28:13.571536-06:00
micro,4.0,512.0,Reelay,{x > 0.0} since[0:512] {x > 0.5},10000000.0,ms,9548.0,2021-02-13 17:39:27.100525-06:00
micro,2.0,2048.0,lattice-monitor,once[2048:4096] x > 0.5,10000000.0,ms,72043.3959961,2021-02-13 18:32:14.234177-06:00
micro,3.0,16.0,Reelay,once[16:] {x > 0.5},10000000.0,ms,2113.0,2021-02-13 17:12:27.771465-06:00
micro,7.0,512.0,Reelay,{x > 0.0} since[512:] {x > 0.5},10000000.0,ms,10185.0,2021-02-13 18:22:58.126428-06:00
micro,0.0,256.0,semiring-monitor,once[0:256] x > 0.5,1000000000.0,ms,13510.0,2021-02-13 18:14:11.901489-06:00
micro,0.0,64.0,lattice-monitor,once[0:64] x > 0.5,10000000.0,ms,1062.38603592,2021-02-13 18:06:05.579565-06:00
micro,0.0,16384.0,lattice-monitor,once[0:16384] x > 0.5,10000000.0,ms,1892.17686653,2021-02-13 19:58:40.273463-06:00
