Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
micro,3.0,256.0,semiring-monitor,once[256:] x > 0.5,300000000.0,ms,2586.0,2021-02-24 17:26:22.916490-06:00
micro,5.0,16.0,Reelay,{x > 0.0} since[16:16] {x > 0.5},500000.0,ms,652.0,2021-02-24 21:53:02.712220-06:00
micro,0.0,65536.0,lattice-monitor,once[0:65536] x > 0.5,,ms,2603.11388969,2021-02-24 18:55:16.321836-06:00
micro,1.0,32.0,lattice-monitor,once[32:32] x > 0.5,,ms,452.280044556,2021-02-24 18:38:27.363905-06:00
micro,7.0,262144.0,semiring-monitor,x > 0.5 since[262144:] x > 0,300000000.0,ms,9824.0,2021-02-24 18:34:51.755749-06:00
micro,2.0,32768.0,Reelay,once[32768:65536] {x > 0.5},5000000.0,ms,1738.0,2021-02-24 18:02:40.663244-06:00
micro,2.0,4096.0,Reelay,once[4096:8192] {x > 0.5},5000000.0,ms,1721.0,2021-02-24 16:41:12.325268-06:00
micro,3.0,4096.0,semiring-monitor,once[4096:] x > 0.5,300000000.0,ms,2576.0,2021-02-24 17:06:52.584921-06:00
micro,2.0,262144.0,semiring-monitor,once[262144:524288] x > 0.5,300000000.0,ms,3870.0,2021-02-24 16:25:44.695821-06:00
micro,2.0,4096.0,Reelay,once[4096:8192] {x > 0.5},5000000.0,ms,1720.0,2021-02-24 17:57:48.507350-06:00
micro,1.0,64.0,Reelay,once[64:64] {x > 0.5},500000.0,ms,682.0,2021-02-24 21:07:55.302473-06:00
micro,2.0,32768.0,semiring-monitor,once[32768:65536] x > 0.5,300000000.0,ms,3794.0,2021-02-24 17:11:37.302314-06:00
micro,5.0,16.0,lattice-monitor,x > 0 since[16:16] x > 0.5,,ms,3546.59986496,2021-02-24 17:20:55.687092-06:00
micro,5.0,16.0,Reelay,{x > 0.0} since[16:16] {x > 0.5},500000.0,ms,647.0,2021-02-24 20:39:05.397512-06:00
micro,3.0,256.0,Reelay,once[256:] {x > 0.5},5000000.0,ms,976.0,2021-02-24 19:35:02.746263-06:00
micro,2.0,1024.0,lattice-monitor,once[1024:2048] x > 0.5,,ms,1756.85095787,2021-02-24 16:12:16.500006-06:00
micro,1.0,8192.0,semiring-monitor,once[8192:8192] x > 0.5,300000000.0,ms,1967.0,2021-02-24 17:08:15.284115-06:00
micro,5.0,16.0,Reelay,{x > 0.0} since[16:16] {x > 0.5},500000.0,ms,650.0,2021-02-24 20:21:43.737343-06:00
micro,7.0,8192.0,semiring-monitor,x > 0.5 since[8192:] x > 0,300000000.0,ms,9951.0,2021-02-24 16:44:01.650197-06:00
micro,7.0,64.0,lattice-monitor,x > 0 since[64:] x > 0.5,,ms,2736.0560894,2021-02-24 16:33:15.234905-06:00
micro,5.0,16384.0,semiring-monitor,x > 0.5 since[16384:16384] x > 0,300000000.0,ms,6617.0,2021-02-24 17:36:03.037104-06:00
micro,6.0,4096.0,Reelay,{x > 0.0} since[4096:8192] {x > 0.5},5000000.0,ms,5995.0,2021-02-24 19:15:45.075521-06:00
micro,2.0,32.0,lattice-monitor,once[32:64] x > 0.5,,ms,1360.31794548,2021-02-24 16:56:25.052407-06:00
micro,7.0,64.0,semiring-monitor,x > 0.5 since[64:] x > 0,300000000.0,ms,9718.0,2021-02-24 18:41:03.651034-06:00
micro,3.0,1024.0,lattice-monitor,once[1024:] x > 0.5,,ms,986.232995987,2021-02-24 16:12:23.719125-06:00
micro,0.0,131072.0,semiring-monitor,once[0:131072] x > 0.5,300000000.0,ms,3945.0,2021-02-24 16:23:39.738665-06:00
micro,2.0,4096.0,Reelay,once[4096:8192] {x > 0.5},5000000.0,ms,1727.0,2021-02-24 18:23:19.945162-06:00
micro,0.0,524288.0,Reelay,once[0:524288] {x > 0.5},5000000.0,ms,1720.0,2021-02-24 16:52:59.626499-06:00
micro,2.0,256.0,lattice-monitor,once[256:512] x > 0.5,,ms,1476.72581673,2021-02-24 19:34:54.782049-06:00
micro,0.0,512.0,lattice-monitor,once[0:512] x > 0.5,,ms,1166.918993,2021-02-24 17:53:04.581504-06:00
micro,1.0,2048.0,Reelay,once[2048:2048] {x > 0.5},500000.0,ms,26432.0,2021-02-24 20:49:18.923163-06:00
micro,0.0,16384.0,Reelay,once[0:16384] {x > 0.5},5000000.0,ms,1729.0,2021-02-24 16:44:13.554708-06:00
micro,2.0,524288.0,semiring-monitor,once[524288:1048576] x > 0.5,300000000.0,ms,3875.0,2021-02-24 17:18:45.661720-06:00
micro,7.0,32.0,lattice-monitor,x > 0 since[32:] x > 0.5,,ms,2739.47811127,2021-02-24 16:06:02.591954-06:00
micro,1.0,1024.0,lattice-monitor,once[1024:1024] x > 0.5,,ms,659.140110016,2021-02-24 17:03:37.795188-06:00
micro,0.0,2048.0,lattice-monitor,once[0:2048] x > 0.5,,ms,1398.40197563,2021-02-24 19:13:09.564207-06:00
micro,1.0,131072.0,lattice-monitor,once[131072:131072] x > 0.5,,ms,1878.12113762,2021-02-24 16:49:25.013068-06:00
micro,2.0,8192.0,Reelay,once[8192:16384] {x > 0.5},5000000.0,ms,1730.0,2021-02-24 17:59:23.812549-06:00
micro,7.0,16.0,lattice-monitor,x > 0 since[16:] x > 0.5,,ms,2824.5279789,2021-02-24 19:03:56.018229-06:00
micro,7.0,262144.0,semiring-monitor,x > 0.5 since[262144:] x > 0,300000000.0,ms,9943.0,2021-02-24 17:18:14.885785-06:00
micro,6.0,2048.0,semiring-monitor,x > 0.5 since[2048:4096] x > 0,300000000.0,ms,11474.0,2021-02-24 15:49:15.791629-06:00
micro,2.0,262144.0,lattice-monitor,once[262144:524288] x > 0.5,,ms,4574.9771595,2021-02-24 19:51:46.923610-06:00
micro,2.0,32.0,semiring-monitor,once[32:64] x > 0.5,300000000.0,ms,3848.0,2021-02-24 19:30:32.878450-06:00
micro,0.0,32768.0,semiring-monitor,once[0:32768] x > 0.5,300000000.0,ms,3918.0,2021-02-24 16:20:08.899221-06:00
micro,5.0,128.0,Reelay,{x > 0.0} since[128:128] {x > 0.5},500000.0,ms,1633.0,2021-02-24 21:26:00.884803-06:00
micro,0.0,16384.0,Reelay,once[0:16384] {x > 0.5},5000000.0,ms,1812.0,2021-02-24 19:44:15.476805-06:00
micro,1.0,64.0,Reelay,once[64:64] {x > 0.5},500000.0,ms,675.0,2021-02-24 21:25:57.900949-06:00
micro,3.0,64.0,lattice-monitor,once[64:] x > 0.5,,ms,842.506170273,2021-02-24 18:14:32.050010-06:00
micro,2.0,256.0,semiring-monitor,once[256:512] x > 0.5,300000000.0,ms,4004.0,2021-02-24 16:35:13.212122-06:00
micro,5.0,512.0,lattice-monitor,x > 0 since[512:512] x > 0.5,,ms,4216.41993523,2021-02-24 18:44:45.500054-06:00
micro,0.0,512.0,semiring-monitor,once[0:512] x > 0.5,300000000.0,ms,3804.0,2021-02-24 16:10:41.975800-06:00
micro,3.0,2048.0,lattice-monitor,once[2048:] x > 0.5,,ms,1104.29501534,2021-02-24 19:13:27.283570-06:00
micro,1.0,16.0,lattice-monitor,once[16:16] x > 0.5,10000000.0,ms,451.683998108,2021-02-24 15:23:53.251049-06:00
micro,6.0,16384.0,Reelay,{x > 0.0} since[16384:32768] {x > 0.5},5000000.0,ms,5845.0,2021-02-24 17:36:17.040934-06:00
micro,6.0,524288.0,semiring-monitor,x > 0.5 since[524288:1048576] x > 0,300000000.0,ms,12061.0,2021-02-24 19:02:10.291328-06:00
micro,3.0,524288.0,Reelay,once[524288:] {x > 0.5},5000000.0,ms,1005.0,2021-02-24 16:53:22.936501-06:00
micro,4.0,32768.0,semiring-monitor,x > 0.5 since[0:32768] x > 0,300000000.0,ms,9652.0,2021-02-24 19:20:16.731804-06:00
micro,3.0,64.0,lattice-monitor,once[64:] x > 0.5,,ms,840.312957764,2021-02-24 18:40:03.021099-06:00
micro,3.0,32768.0,Reelay,once[32768:] {x > 0.5},5000000.0,ms,1049.0,2021-02-24 19:46:20.883201-06:00
micro,2.0,1024.0,Reelay,once[1024:2048] {x > 0.5},5000000.0,ms,1750.0,2021-02-24 19:11:48.571979-06:00
micro,7.0,65536.0,Reelay,{x > 0.0} since[65536:] {x > 0.5},5000000.0,ms,4956.0,2021-02-24 18:05:36.108492-06:00
micro,4.0,64.0,semiring-monitor,x > 0.5 since[0:64] x > 0,300000000.0,ms,9581.0,2021-02-24 15:27:07.773361-06:00
micro,7.0,16384.0,lattice-monitor,x > 0 since[16384:] x > 0.5,,ms,4785.37797928,2021-02-24 18:27:37.363089-06:00
micro,1.0,512.0,lattice-monitor,once[512:512] x > 0.5,,ms,586.097955704,2021-02-24 19:36:21.881080-06:00
micro,6.0,512.0,lattice-monitor,x > 0 since[512:1024] x > 0.5,,ms,5128.08895111,2021-02-24 17:28:20.869777-06:00
micro,6.0,65536.0,Reelay,{x > 0.0} since[65536:131072] {x > 0.5},5000000.0,ms,5882.0,2021-02-24 18:56:23.919381-06:00
micro,5.0,8192.0,Reelay,{x > 0.0} since[8192:8192] {x > 0.5},32768.0,ms,7410.0,2021-02-24 21:47:46.829346-06:00
micro,4.0,2048.0,lattice-monitor,x > 0 since[0:2048] x > 0.5,,ms,2859.77888107,2021-02-24 16:39:49.746155-06:00
micro,3.0,262144.0,Reelay,once[262144:] {x > 0.5},5000000.0,ms,987.0,2021-02-24 16:25:50.615214-06:00
micro,4.0,128.0,lattice-monitor,x > 0 since[0:128] x > 0.5,,ms,2465.45600891,2021-02-24 19:07:30.615009-06:00
micro,6.0,1024.0,semiring-monitor,x > 0.5 since[1024:2048] x > 0,300000000.0,ms,11490.0,2021-02-24 16:38:58.536687-06:00
micro,1.0,4096.0,Reelay,once[4096:4096] {x > 0.5},500000.0,ms,63483.0,2021-02-24 20:59:50.748775-06:00
